age,sex,race,realrinc,educ,hrs1,marital,bible,childs,paeduc,maeduc,degree
48,0,1,45400,16,50,1,2,3,14,16,1
41,0,1,24970,16,30,5,3,0,16,17,1
30,0,1,30645,16,35,5,2,0,16,16,1
29,0,1,17025,20,40,5,2,0,16,16,1
38,1,2,NA,14,40,1,2,0,NA,12,0
76,0,2,NA,14,NA,2,1,7,14,4,0
55,0,3,NA,13,40,3,2,2,NA,NA,0
28,1,1,NA,18,40,5,3,0,18,20,1
18,0,2,NA,9,NA,5,1,0,NA,NA,0
24,0,3,NA,17,NA,5,3,0,19,19,1
34,1,1,37455,0,40,1,3,0,12,12,0
77,0,1,NA,16,NA,1,2,3,16,12,0
89,1,1,NA,12,NA,5,2,0,12,12,0
69,1,1,54480,19,30,1,3,2,8,12,1
70,1,1,12485,12,NA,3,3,2,12,12,0
71,0,1,NA,16,NA,1,2,4,12,12,1
34,1,1,12485,16,32,5,4,0,16,16,1
77,0,3,NA,12,NA,5,3,0,NA,NA,0
20,0,1,908,12,38,5,2,0,12,11,0
38,0,1,NA,3,8,1,1,2,0,0,0
29,0,1,NA,12,NA,5,1,4,12,NA,0
69,1,1,NA,15,NA,1,2,2,12,11,0
36,0,1,NA,11,NA,5,2,4,11,9,0
43,0,3,NA,14,NA,1,1,3,16,10,0
64,0,1,NA,13,NA,3,1,3,NA,16,0
53,1,1,20430,13,40,1,2,3,8,14,0
69,0,1,NA,15,NA,1,2,2,8,8,0
39,0,1,NA,10,NA,3,2,3,12,12,0
57,1,1,NA,14,50,1,2,2,12,12,0
63,0,1,45400,15,40,1,1,1,6,12,0
75,0,1,NA,8,NA,5,1,1,NA,6,0
32,1,1,151050.72136000003,16,45,1,3,2,14,14,1
46,1,1,24970,13,70,4,3,2,3,NA,0
41,1,1,20430,12,NA,3,2,3,NA,10,0
49,0,1,24970,16,NA,3,2,2,12,12,1
65,1,1,NA,13,NA,1,3,2,NA,12,0
59,0,1,37455,14,40,1,3,1,8,8,0
47,1,1,30645,12,41,3,1,2,12,12,0
27,0,3,NA,13,40,5,2,1,12,8,0
57,0,1,9647.5,12,38,1,2,2,12,12,0
74,0,1,2951,20,18,1,2,1,NA,14,1
51,0,1,1589,18,25,1,1,2,20,16,1
44,1,3,151050.72136000003,20,60,1,3,2,18,16,1
46,0,1,30645,16,40,3,2,0,12,12,1
42,0,3,20430,12,40,1,1,3,NA,12,0
65,0,1,63560,16,50,3,2,2,14,14,1
36,1,1,151050.72136000003,16,60,1,2,2,16,16,1
80,0,1,NA,18,NA,2,2,5,NA,14,1
32,0,3,7377.5,16,40,1,3,0,12,14,1
89,1,1,NA,5,NA,2,2,3,6,NA,0
40,0,3,NA,16,NA,1,3,2,16,14,1
88,0,1,NA,12,NA,2,3,0,12,12,0
59,0,1,4086,16,NA,1,2,2,12,12,1
55,0,1,151050.72136000003,18,60,1,2,2,12,16,1
31,0,2,17025,14,45,5,1,0,12,12,0
31,1,3,10782.5,18,40,1,3,0,12,12,1
35,0,1,24970,16,40,1,2,1,18,NA,1
32,0,3,NA,17,NA,5,3,0,16,12,1
48,0,3,NA,12,NA,1,3,5,3,12,0
24,0,2,NA,12,NA,1,1,1,NA,NA,0
22,1,3,24970,12,48,5,NA,0,16,15,0
37,0,3,14755,16,40,5,1,1,0,0,0
34,0,2,72640,16,36,5,4,0,NA,14,1
89,0,1,NA,12,NA,2,4,1,8,8,0
55,0,2,NA,0,NA,5,1,5,NA,8,0
46,1,2,24970,12,40,5,NA,4,NA,14,0
29,0,1,14755,17,NA,1,3,0,13,11,1
83,0,3,NA,12,NA,2,1,4,NA,NA,0
33,0,1,24970,16,55,5,3,0,12,16,1
